rank,eligible,parameter_json,ridge_penalty,minimum_target_probability,risk_penalty,score_buffer,top_k,selected_campaigns,selected_targets,selected_pnl_vnd,control_pnl_vnd,incremental_pnl_vnd,median_pnl_vnd,profit_factor,double_cost_pnl_vnd,best_removed_pnl_vnd,target_gains_vnd,other_losses_vnd,grid_economic_pnl_vnd,positive_active_fold_fraction,maximum_ticker_positive_fraction,entry_years,maximum_year_fraction,target_rate_quintile_spread
,False,"{""minimum_target_probability"":0.4,""ridge_penalty"":100,""risk_penalty"":1.0,""score_buffer"":0.0,""top_k"":1}",100,0.4,1.0,0.0,1,15,7,-1717728,-606678,-1111050,-78384,0.31894971601891225,-2174110,-2093058,989366,2707094,-1717728,0.2857142857142857,0.7506647423633875,2,0.6666666666666666,-0.08206686930091178
,False,"{""minimum_target_probability"":0.4,""ridge_penalty"":100,""risk_penalty"":1.0,""score_buffer"":0.0,""top_k"":2}",100,0.4,1.0,0.0,2,16,8,-1598718,-606678,-992040,-58105.0,0.3661351809450177,-2070790,-1974048,1108376,2707094,-1598718,0.2857142857142857,0.6539232471030053,2,0.6875,-0.08206686930091178
,False,"{""minimum_target_probability"":0.4,""ridge_penalty"":100,""risk_penalty"":1.0,""score_buffer"":0.0,""top_k"":3}",100,0.4,1.0,0.0,3,16,8,-1598718,-606678,-992040,-58105.0,0.3661351809450177,-2070790,-1974048,1108376,2707094,-1598718,0.2857142857142857,0.6539232471030053,2,0.6875,-0.08206686930091178
,False,"{""minimum_target_probability"":0.4,""ridge_penalty"":100,""risk_penalty"":1.0,""score_buffer"":0.001,""top_k"":1}",100,0.4,1.0,0.001,1,13,4,-2268515,-606678,-1661837,-92240,0.1284713484689281,-2634315,-2497055,449354,2717869,-2268515,0.16666666666666666,0.683433014354067,2,0.6153846153846154,-0.08206686930091178
,False,"{""minimum_target_probability"":0.4,""ridge_penalty"":100,""risk_penalty"":1.0,""score_buffer"":0.001,""top_k"":2}",100,0.4,1.0,0.001,2,14,5,-2149505,-606678,-1542827,-86490.0,0.17419316420244227,-2530995,-2378045,568364,2717869,-2149505,0.16666666666666666,0.5040471096799806,2,0.6428571428571429,-0.08206686930091178
,False,"{""minimum_target_probability"":0.4,""ridge_penalty"":100,""risk_penalty"":1.0,""score_buffer"":0.001,""top_k"":3}",100,0.4,1.0,0.001,3,14,5,-2149505,-606678,-1542827,-86490.0,0.17419316420244227,-2530995,-2378045,568364,2717869,-2149505,0.16666666666666666,0.5040471096799806,2,0.6428571428571429,-0.08206686930091178
,False,"{""minimum_target_probability"":0.4,""ridge_penalty"":100,""risk_penalty"":1.5,""score_buffer"":0.0,""top_k"":1}",100,0.4,1.5,0.0,1,6,1,-1661530,-606678,-1054852,-374050.0,0.015307936658448701,-1843210,-1687360,102690,1764220,-1661530,0.0,1.0,2,0.5,-0.045592705167173286
,False,"{""minimum_target_probability"":0.4,""ridge_penalty"":100,""risk_penalty"":1.5,""score_buffer"":0.0,""top_k"":2}",100,0.4,1.5,0.0,2,6,1,-1661530,-606678,-1054852,-374050.0,0.015307936658448701,-1843210,-1687360,102690,1764220,-1661530,0.0,1.0,2,0.5,-0.045592705167173286
,False,"{""minimum_target_probability"":0.4,""ridge_penalty"":100,""risk_penalty"":1.5,""score_buffer"":0.0,""top_k"":3}",100,0.4,1.5,0.0,3,6,1,-1661530,-606678,-1054852,-374050.0,0.015307936658448701,-1843210,-1687360,102690,1764220,-1661530,0.0,1.0,2,0.5,-0.045592705167173286
,False,"{""minimum_target_probability"":0.4,""ridge_penalty"":100,""risk_penalty"":1.5,""score_buffer"":0.001,""top_k"":1}",100,0.4,1.5,0.001,1,6,1,-1581330,-606678,-974652,-374050.0,0.01607182856716195,-1762830,-1607160,102690,1684020,-1581330,0.0,1.0,2,0.5,-0.045592705167173286
,False,"{""minimum_target_probability"":0.4,""ridge_penalty"":100,""risk_penalty"":1.5,""score_buffer"":0.001,""top_k"":2}",100,0.4,1.5,0.001,2,6,1,-1581330,-606678,-974652,-374050.0,0.01607182856716195,-1762830,-1607160,102690,1684020,-1581330,0.0,1.0,2,0.5,-0.045592705167173286
,False,"{""minimum_target_probability"":0.4,""ridge_penalty"":100,""risk_penalty"":1.5,""score_buffer"":0.001,""top_k"":3}",100,0.4,1.5,0.001,3,6,1,-1581330,-606678,-974652,-374050.0,0.01607182856716195,-1762830,-1607160,102690,1684020,-1581330,0.0,1.0,2,0.5,-0.045592705167173286
